world_rank,university_name,country,teaching,research,citations,income,total_score,num_students,student_staff_ratio,international_students,year
2,California Institute of Technology,United States of America,97.7,98,99.9,83.7,96,"2,243",6.9,27%,2011
3,Massachusetts Institute of Technology,United States of America,97.8,91.4,99.9,87.5,95.6,"11,074",9,33%,2011
4,Stanford University,United States of America,98.3,98.1,99.2,64.3,94.3,"15,596",7.8,22%,2011
6,University of Cambridge,United Kingdom,90.5,94.1,94,57,91.2,"18,812",11.8,34%,2011
6,University of Oxford,United Kingdom,88.2,93.9,95.1,73.5,91.2,"19,919",11.6,34%,2011
9,Imperial College London,United Kingdom,89.2,94.5,88.3,92.9,90.6,"15,060",11.7,51%,2011
13,Johns Hopkins University,United States of America,80.9,89.2,92.3,100,86.4,"15,128",3.6,23%,2011
14,Cornell University,United States of America,82.2,88.8,88.1,34.7,83.9,"21,424",10.2,19%,2011
15,University of Michigan,United States of America,83.9,89.1,84.1,59.6,83.4,"41,786",9,16%,2011
19,University of Pennsylvania,United States of America,71.8,82.7,93.6,43.7,79.5,"20,376",6.5,20%,2011
20,Carnegie Mellon University,United States of America,70.3,79.3,95.7,53.7,79.3,"11,885",13.1,35%,2011
21,University of Hong Kong,Hong Kong,68.4,71.4,96.1,56.5,79.2,"19,835",17.6,38%,2011
22,University College London,United Kingdom,74,81.6,80.6,39,78.4,"26,607",10.7,46%,2011
23,University of Washington,United States of America,68.2,77.1,95.9,32.8,78,"44,020",11.8,13%,2011
24,Duke University,United States of America,66.8,71.5,92.3,100,76.5,"15,172",4.8,17%,2011
27,Georgia Institute of Technology,United States of America,67.9,72.6,83.2,95.1,75.3,"19,967",20.1,26%,2011
28,Pohang University of Science and Technology,South Korea,69.5,62.5,96.5,100,75.1,"3,055",10.1,4%,2011
29,"University of California, Santa Barbara",United States of America,56.6,68,98.8,89.8,75,"22,020",27.3,11%,2011
30,University of British Columbia,Canada,65.1,74.8,80.3,42.6,73.8,"50,152",17.6,25%,2011
30,University of North Carolina at Chapel Hill,United States of America,70.9,75.1,85,50.2,73.8,"26,518",7.3,8%,2011
32,"University of California, San Diego",United States of America,59.8,76.3,90.8,51.8,73.2,"27,233",6.5,11%,2011
34,National University of Singapore,Singapore,65.5,72.6,78.7,40.5,72.9,"31,592",15.5,34%,2011
36,University of Melbourne,Australia,58.7,69.2,83.3,47.7,71,"40,128",23.7,35%,2011
40,University of Edinburgh,United Kingdom,59.9,61.9,86.8,42.2,69.2,"25,774",14.1,36%,2011
42,École Normale Supérieure,France,66.8,48.2,95.7,30.7,68.6,"2,400",7.9,20%,2011
43,Karolinska Institute,Sweden,65.8,72.7,62.3,73.3,67,"7,774",11.5,22%,2011
43,University of Göttingen,Germany,57.3,55.9,92.5,31.7,67,"25,581",25.6,12%,2011
47,Rice University,United States of America,57.4,50.6,99.1,29.2,66.9,"6,333",9,26%,2011
48,École Polytechnique Fédérale de Lausanne,Switzerland,55,56.1,83.8,38,66.5,"9,666",10.5,54%,2011
51,Vanderbilt University,United States of America,64.9,59.5,78.1,84.2,65.9,"12,161",3.6,10%,2011
54,"University of California, Davis",United States of America,57.3,70.7,68.8,48,65,"35,364",13.9,13%,2011
56,University of Massachusetts,United States of America,61.3,72.6,67.9,53.9,64.7,"56,959",13,11%,2011
58,Tsinghua University,China,74.9,66.6,52.7,97.8,64.2,"39,763",13.7,10%,2011
59,Boston University,United States of America,53.6,51.9,91.4,29.6,64,"24,789",8.6,17%,2011
61,LMU Munich,Germany,59.1,57.5,76.4,40.4,63,"35,691",15.5,13%,2011
64,University of Pittsburgh,United States of America,58.5,58.3,78.3,37.9,62.7,"26,485",5.8,10%,2011
68,University of Bristol,United Kingdom,49.6,53.1,80.9,36.2,61.4,"17,906",14,25%,2011
71,University of Sydney,Australia,49.8,61.9,64.3,90.8,61.2,"41,868",20.2,28%,2011
73,University of Adelaide,Australia,46.5,38.8,90.5,52.7,60.7,"20,771",30.1,26%,2011
76,Trinity College Dublin,Republic of Ireland,47.7,45.3,84.4,31.6,60.3,"15,521",18,25%,2011
77,King’s College London,United Kingdom,48.5,54.5,72.1,44.1,59.7,"21,394",11.4,37%,2011
79,Korea Advanced Institute of Science and Technology (KAIST),South Korea,71.3,63.4,45.5,100,59.5,"9,027",10,9%,2011
79,University of Sussex,United Kingdom,42.4,42.4,91.6,29.1,59.5,"12,001",17.4,35%,2011
81,The University of Queensland,Australia,51.8,53.4,69,57.1,59.1,"34,718",32.7,27%,2011
83,Heidelberg University,Germany,59.2,47.5,70.3,39.1,59,"28,881",24.5,17%,2011
85,Durham University,United Kingdom,39.8,44.1,91,33.9,58.9,"15,489",15.7,24%,2011
87,University of Manchester,United Kingdom,56.5,56.2,59.2,39,58,"34,938",15.3,34%,2011
88,"Royal Holloway, University of London",United Kingdom,37.7,36.2,93.2,30.5,57.9,"8,747",15.9,37%,2011
90,University of Southampton,United Kingdom,50.8,47.8,72.9,37.7,57.7,"20,925",13.5,29%,2011
90,University of Zurich,Switzerland,56.6,47,65,43.8,57.7,"26,583",6.5,19%,2011
95,University of Arizona,United States of America,52.4,52.2,70.1,84.2,57.3,"36,429",12.7,8%,2011
95,University of Basel,Switzerland,50.2,37.1,78.3,45.8,57.3,"12,551",17.3,24%,2011
100,École Normale Supérieure de Lyon,France,51.1,34.4,88.8,26.1,57,"2,218",8,14%,2011
102,University of Helsinki,Finland,49,51.4,75.4,30.2,56.6,"23,505",15.1,6%,2011
103,University of St Andrews,United Kingdom,44.8,47.7,72.9,32.6,56.5,"8,338",12.7,47%,2011
107,National Tsing Hua University,Taiwan,52.2,52.6,66.9,50.2,56.1,"10,221",13.5,5%,2011
109,Pennsylvania State University,United States of America,46.3,49.2,77.6,44,56,"44,501",12.4,12%,2011
111,Hong Kong Baptist University,Hong Kong,32.9,32.5,97.6,26.7,55.6,"10,441",11,25%,2011
112,Tokyo Institute of Technology,Japan,62.9,63.4,45.5,60.5,55.4,"9,586",7.3,13%,2011
114,Eindhoven University of Technology,Netherlands,55.4,51.7,56.9,99.8,55.3,"8,176",16,14%,2011
115,National Taiwan University,Taiwan,50.3,59,61.6,35.7,55.2,"31,891",11.9,7%,2011
117,"University of California, Riverside",United States of America,38.6,47.4,78.3,30.5,55.1,"20,626",22,12%,2011
118,University of Geneva,Switzerland,46.6,49.7,63.1,32.7,55,"15,668",15,39%,2011
119,KU Leuven,Belgium,57.7,62.9,45.2,97.7,54.8,"42,503",41.9,18%,2011
120,Nanjing University,China,52.2,46.2,66,43.4,54.6,"29,743",13.3,10%,2011
120,Queen Mary University of London,United Kingdom,39.7,44.1,73.5,38.9,54.6,"14,260",14,40%,2011
122,Technical University of Denmark,Denmark,46.2,46.9,64.6,95.5,54.5,"9,990",5,18%,2011
124,Ghent University,Belgium,52.8,59.1,52.8,97.1,54.4,"32,166",34.1,9%,2011
124,Lancaster University,United Kingdom,43.5,41.9,74.9,28.8,54.4,"11,512",14.9,33%,2011
124,Leiden University,Netherlands,47.3,54.9,59.3,100,54.4,"21,222",17.1,10%,2011
127,University of Alberta,Canada,53.7,58,49.7,44.5,54.3,"36,299",21.6,23%,2011
128,University of Glasgow,United Kingdom,45.6,50.3,65.1,61,54.2,"22,616",16,29%,2011
129,Stockholm University,Sweden,36.9,49.2,75.9,31.7,54,"31,715",23.7,8%,2011
130,Osaka University,Japan,61.7,63.4,40,73.4,53.4,"23,144",7.8,9%,2011
130,University of Victoria,Canada,32.9,48.3,79.1,27.4,53.4,"17,581",21.5,11%,2011
132,Tohoku University,Japan,60.3,62.5,41.2,82.3,53.3,"17,200",5,7%,2011
132,University of Freiburg,Germany,52.4,41.4,64.3,79.8,53.3,"26,467",31.2,16%,2011
135,University of Bergen,Norway,39.9,42.1,73.1,41.5,52.7,"11,623",11.1,12%,2011
137,University of Sheffield,United Kingdom,48.9,49.2,58.4,40.3,52.5,"23,311",15.5,31%,2011
139,VU University Amsterdam,Netherlands,47.6,51.6,58.5,81.4,52.3,"23,280",16.3,6%,2011
140,Pierre and Marie Curie University,France,51.9,37.2,71.5,26.4,52.2,"27,862",8.7,18%,2011
140,University of Dundee,United Kingdom,34.1,41,79.3,49.3,52.2,"11,628",15.3,25%,2011
142,University of Barcelona,Spain,34.1,33.7,91.9,30,52.1,"47,491",12.2,10%,2011
143,Utrecht University,Netherlands,43.4,53,58.8,55.3,52,"30,779",15.4,7%,2011
145,University of Auckland,New Zealand,34.8,39.2,71.8,61.1,51.8,"29,787",18.9,28%,2011
145,University of Birmingham,United Kingdom,50.3,50.7,52.1,34.8,51.8,"25,295",16.4,23%,2011
147,Alexandria University,Egypt,29.5,28,99.8,36,51.6,"127,431",23.3,1%,2011
147,Uppsala University,Sweden,49.6,62.2,40.7,39.5,51.6,"25,266",18.2,12%,2011
149,Hong Kong Polytechnic University,Hong Kong,39.4,45.7,62.4,57.2,51.4,"22,064",25.9,26%,2011
149,University of Aberdeen,United Kingdom,37.8,45.2,64.6,47,51.4,"12,938",15.8,33%,2011
151,Delft University of Technology,Netherlands,55.5,67.7,29,99.4,51.3,"15,920",19.4,25%,2011
152,"Birkbeck, University of London",United Kingdom,41.2,35.8,70.6,27.4,51.2,"9,454",17.2,38%,2011
152,Newcastle University,United Kingdom,42.7,42.8,63.6,31.1,51.2,"20,174",15.2,29%,2011
152,University of New South Wales,Australia,49.5,48.9,51.2,60,51.2,"38,309",25.9,33%,2011
155,Pompeu Fabra University,Spain,35,33,84.7,40,51.1,"10,901",18.3,13%,2011
156,Iowa State University,United States of America,49.3,49.6,58.2,49.6,51,"29,991",17.4,11%,2011
159,University of Delaware,United States of America,38.4,51.9,61.3,100,50.4,"19,262",15.9,10%,2011
163,National Sun Yat-Sen University,Taiwan,46.1,50.6,58.9,37.5,50.2,"9,336",19.6,4%,2011
165,University of Amsterdam,Netherlands,42.5,49.2,60.2,38.8,50,"24,570",14.4,11%,2011
165,University of Liverpool,United Kingdom,40.8,47.8,59.6,40.6,50,"18,815",13.6,30%,2011
1,California Institute of Technology,United States of America,95.7,98.2,99.9,97,94.8,"2,243",6.9,27%,2012
2,Stanford University,United States of America,94.8,98.9,99.8,63.8,93.9,"15,596",7.8,22%,2012
4,University of Oxford,United Kingdom,89.5,96.6,97.9,62.1,93.6,"19,919",11.6,34%,2012
5,Princeton University,United States of America,91.5,99.1,100,81,92.9,"7,929",8.4,27%,2012
6,University of Cambridge,United Kingdom,90.5,94.2,97.3,55.5,92.4,"18,812",11.8,34%,2012
7,Massachusetts Institute of Technology,United States of America,92.7,87.4,100,94.4,92.3,"11,074",9,33%,2012
8,Imperial College London,United Kingdom,88.8,88.7,93.9,93.1,90.7,"15,060",11.7,51%,2012
10,"University of California, Berkeley",United States of America,82.8,99.4,99.4,62.5,89.8,"36,186",16.4,15%,2012
11,Yale University,United States of America,92.3,91.2,96.7,34.7,89.1,"11,751",4.4,20%,2012
14,Johns Hopkins University,United States of America,78.9,86.5,97.3,100,85.8,"15,128",3.6,23%,2012
16,University of Pennsylvania,United States of America,87,86.1,97.9,41.9,84.9,"20,376",6.5,20%,2012
17,University College London,United Kingdom,77.8,84.3,89,41.4,83.2,"26,607",10.7,46%,2012
18,University of Michigan,United States of America,75.4,90,94.3,53.3,82.8,"41,786",9,16%,2012
21,Carnegie Mellon University,United States of America,65.7,79.5,97.4,60.7,78.4,"11,885",13.1,35%,2012
22,Duke University,United States of America,62.6,77.9,97.4,100,77.4,"15,172",4.8,17%,2012
22,University of British Columbia,Canada,68.6,78.6,85.2,40.6,77.4,"50,152",17.6,25%,2012
24,Georgia Institute of Technology,United States of America,66.6,73.8,91.9,99.2,77,"19,967",20.1,26%,2012
25,University of Washington,United States of America,70.8,74,98.2,31.8,76.5,"44,020",11.8,13%,2012
26,Northwestern University,United States of America,66.3,75.5,98.6,56.6,76.2,"18,334",13.8,15%,2012
27,University of Wisconsin-Madison,United States of America,74.3,77.3,90.6,55.3,75.8,"39,655",10.8,11%,2012
28,McGill University,Canada,72.8,78.4,77.1,35.1,75.5,"31,326",13.7,23%,2012
29,University of Texas at Austin,United States of America,69.5,76.1,89.6,57.7,74.9,"49,427",17.4,9%,2012
32,Karolinska Institute,Sweden,69.9,73.8,73.1,78.5,73.1,"7,774",11.5,22%,2012
33,"University of California, San Diego",United States of America,61.4,72,97.8,51.8,73,"27,233",6.5,11%,2012
34,University of Hong Kong,Hong Kong,74,80.1,60.5,64.1,72.3,"19,835",17.6,38%,2012
35,"University of California, Santa Barbara",United States of America,55,65.3,99.9,85,72.1,"22,020",27.3,11%,2012
36,University of Edinburgh,United Kingdom,63,61.4,92.3,41.3,72,"25,774",14.1,36%,2012
37,University of Melbourne,Australia,62.2,72.4,80.7,44.4,71.9,"40,128",23.7,35%,2012
38,Australian National University,Australia,62.8,75.1,72.6,41.7,71.2,"14,604",19.2,35%,2012
38,"University of California, Davis",United States of America,68,68.7,83.4,52.5,71.2,"35,364",13.9,13%,2012
40,National University of Singapore,Singapore,65.7,79,63.4,60.7,70.9,"31,592",15.5,34%,2012
43,University of North Carolina at Chapel Hill,United States of America,67.6,62.6,92.6,35.5,69.3,"26,518",7.3,8%,2012
44,New York University,United States of America,60.2,65.4,92.3,30.9,69,"42,056",6.8,19%,2012
45,LMU Munich,Germany,63.8,59.9,84.6,40.7,67.6,"35,691",15.5,13%,2012
46,École Polytechnique Fédérale de Lausanne,Switzerland,53.1,43.9,95.3,46.7,66.3,"9,666",10.5,54%,2012
48,University of Manchester,United Kingdom,59,61.1,75.6,37.7,65.7,"34,938",15.3,34%,2012
51,Pennsylvania State University,United States of America,53.5,66.7,83.4,61.6,64.9,"44,501",12.4,12%,2012
53,Pohang University of Science and Technology,South Korea,56.4,51.9,92.3,100,64.6,"3,055",10.1,4%,2012
54,Boston University,United States of America,60.7,46.2,95.6,27.6,64.2,"24,789",8.6,17%,2012
55,University of Southern California,United States of America,65.8,48.7,80.2,99.3,64,"36,534",12.9,20%,2012
56,King’s College London,United Kingdom,49.8,54.2,80.9,40.8,63.2,"21,394",11.4,37%,2012
57,Ohio State University,United States of America,61.8,56.2,77.5,49.9,63,"51,462",13.4,12%,2012
58,University of Sydney,Australia,55.4,65.7,57.2,92.1,62.4,"41,868",20.2,28%,2012
59,University of Pittsburgh,United States of America,54.3,53.9,88.7,37.5,62,"26,485",5.8,10%,2012
59,École Normale Supérieure,France,56.6,33.5,96.4,44.7,62,"2,400",7.9,20%,2012
61,University of Zurich,Switzerland,56.7,45.9,78.4,43.5,61.9,"26,583",6.5,19%,2012
63,École Polytechnique,France,50.4,38.8,89.1,63,61.5,"2,429",4.8,30%,2012
64,University of Massachusetts,United States of America,54,58.3,80.1,53.2,61.1,"56,959",13,11%,2012
65,McMaster University,Canada,41.9,49.9,85.5,97.5,61,"23,823",19.3,15%,2012
66,University of Bristol,United Kingdom,44.2,47.7,89.9,34.8,60.9,"17,906",14,25%,2012
67,KU Leuven,Belgium,52.5,64.7,63,99.9,60.8,"42,503",41.9,18%,2012
68,Utrecht University,Netherlands,42.8,53.2,85.7,59.3,60.4,"30,779",15.4,7%,2012
69,University of Göttingen,Germany,51.4,50.9,84.1,32.7,60.3,"25,581",25.6,12%,2012
70,Vanderbilt University,United States of America,52.1,47.6,86.8,64.4,59.6,"12,161",3.6,10%,2012
71,Tsinghua University,China,74.1,70.1,37.4,99.8,59.5,"39,763",13.7,10%,2012
72,Rice University,United States of America,45.9,38,99.9,36.2,59,"6,333",9,26%,2012
73,Heidelberg University,Germany,57.1,41.5,78.5,37.6,58.7,"28,881",24.5,17%,2012
74,The University of Queensland,Australia,47.5,52.3,70.2,62.6,58.6,"34,718",32.7,27%,2012
75,Emory University,United States of America,48.4,39.8,90.9,34.4,57.4,"12,338",4.5,18%,2012
75,Wageningen University and Research Center,Netherlands,50.1,47.6,66.3,100,57.4,"9,248",17,21%,2012
77,Tufts University,United States of America,45.8,37.4,94.5,35.4,57.3,"10,410",10,14%,2012
79,Leiden University,Netherlands,45.4,55.3,71.7,48.6,57,"21,222",17.1,10%,2012
81,University of Rochester,United States of America,47,33.5,94.5,36.4,56.8,"9,390",4.5,26%,2012
83,Durham University,United Kingdom,32.5,37.9,96.2,30.5,56.4,"15,489",15.7,24%,2012
84,Pierre and Marie Curie University,France,56.3,30.5,81.1,26.2,56,"27,862",8.7,18%,2012
85,University of St Andrews,United Kingdom,37.1,40.2,83,34.1,55.7,"8,338",12.7,47%,2012
86,"University of California, Irvine",United States of America,36.2,42.3,93.5,45.6,55.4,"26,614",16.1,16%,2012
87,Uppsala University,Sweden,47.2,65.1,53.3,43.4,55.2,"25,266",18.2,12%,2012
88,Technical University of Munich,Germany,50,37.1,76.3,47.2,55.1,"35,565",31.5,20%,2012
89,University of Notre Dame,United States of America,42.6,36.2,94.1,27.3,55,"11,829",13.8,10%,2012
91,University of Helsinki,Finland,39.3,54.2,75.1,28.9,54.8,"23,505",15.1,6%,2012
92,University of Amsterdam,Netherlands,41.7,54.7,68.3,42.5,54.7,"24,570",14.4,11%,2012
94,Korea Advanced Institute of Science and Technology (KAIST),South Korea,64.2,54.6,47.1,100,54.5,"9,027",10,9%,2012
